transient_index,timestamp_s,strength,strength_rounded,frequency_hz,frequency_hz_rounded,frequency_band,wavelength_m,wavelength_m_rounded,rolloff_hz,rolloff_hz_rounded,rolloff_band,pitch_hz,pitch_hz_rounded,pitch_band
1,0.08127,1.0,1.0,1620.572000398492,1620.6,mid,0.21165366297557758,0.2117,2820.849609375,2820.8,high,0.0,0.0,unvoiced
2,0.22059,0.3200713,0.32,2695.8693792383456,2695.9,high,0.12723168364221957,0.1272,5383.30078125,5383.3,high,0.0,0.0,unvoiced
3,1.834376,0.28948283,0.29,3145.6133366818476,3145.6,high,0.10904073809714127,0.109,7084.423828125,7084.4,high,119.95585059317834,120.0,low
4,4.109932,0.2663507,0.27,4616.201740748545,4616.2,high,0.07430351168846024,0.0743,8376.416015625,8376.4,high,0.0,0.0,unvoiced
5,7.024036,0.2561014,0.26,1684.8721462697615,1684.9,mid,0.2035762777367933,0.2036,4801.904296875,4801.9,high,0.0,0.0,unvoiced
