transient_index,event
1,clunk
2,clunk
3,clunk
4,stair
5,stair
6,stair
7,bzz
8,clunk
9,clunk
10,stair
11,stair
12,stair
13,stair
14,bzz
15,clunk
16,clunk
17,stair
18,stair
19,stair
20,stair
21,bzz
22,clunk
23,clunk
24,stair
25,stair
26,stair
27,stair
28,bzz
29,clunk
